Region,craft_beer
Colorado,100
Virginia,94
Oregon,87
Minnesota,76
New Hampshire,69
Maine,67
Massachusetts,63
Pennsylvania,57
Wisconsin,56
Maryland,53
North Carolina,53
Michigan,52
New York,46
California,45
Indiana,44
Illinois,42
Missouri,41
Connecticut,40
South Carolina,40
New Jersey,40
Ohio,40
Florida,38
Washington,37
Texas,30
Arizona,28
Kentucky,25
Georgia,24
Tennessee,21
Louisiana,20
Vermont,0
District of Columbia,0
Rhode Island,0
Iowa,0
South Dakota,0
Nevada,0
Delaware,0
Montana,0
Nebraska,0
New Mexico,0
Oklahoma,0
Arkansas,0
North Dakota,0
Wyoming,0
Alabama,0
West Virginia,0
Kansas,0
Alaska,0
Idaho,0
Hawaii,0
Utah,0
Mississippi,0
